Date,FTAs_in_India
2012/01/01,681002
2012/02/01,681193
2012/03/01,606456
2012/04/01,447581
2012/05/01,374476
2012/06/01,433390
2012/07/01,485808
2012/08/01,445632
2012/09/01,411562
2012/10/01,556488
2012/11/01,701185
2012/12/01,752972
2013/01/01,720321
2013/02/01,688569
2013/03/01,639530
2013/04/01,450580
2013/05/01,417453
2013/06/01,451223
2013/07/01,506427
2013/08/01,486338
2013/09/01,453561
2013/10/01,598095
2013/11/01,733923
2013/12/01,821581
2014/01/01,757786
2014/02/01,755678
2014/03/01,690441
2014/04/01,535321
2014/05/01,465043
2014/06/01,502028
2014/07/01,568871
2014/08/01,575750
2014/09/01,509142
2014/10/01,668398
2014/11/01,765497
2014/12/01,885144
2015/01/01,790854
2015/02/01,761007
2015/03/01,729154
2015/04/01,541551
2015/05/01,509869
2015/06/01,512341
2015/07/01,628323
2015/08/01,599478
2015/09/01,542600
2015/10/01,683286
2015/11/01,815947
2015/12/01,912723
2016/01/01,844533
2016/02/01,848782
2016/03/01,809107
2016/04/01,592004
2016/05/01,527466
2016/06/01,546972
2016/07/01,733834
2016/08/01,652111
2016/09/01,608177
2016/10/01,741770
2016/11/01,878280
2016/12/01,1021375
2017/01/01,964109
2017/02/01,931025
2017/03/01,885936
2017/04/01,717899
2017/05/01,622408
2017/06/01,663470
2017/07/01,779309
2017/08/01,719129
2017/09/01,719964
2017/10/01,866976
2017/11/01,997738
2017/12/01,1167840
2018/01/01,1045027
2018/02/01,1049259
2018/03/01,1021539
2018/04/01,745033
2018/05/01,606513
2018/06/01,683935
2018/07/01,806493
2018/08/01,785993
2018/09/01,719894
2018/10/01,890223
2018/11/01,1012569
2018/12/01,1191498
2019/01/01,1111040
2019/02/01,1090516
2019/03/01,978236
2019/04/01,774651
2019/05/01,615136
2019/06/01,726446
2019/07/01,818125
2019/08/01,800837
2019/09/01,751513
2019/10/01,945017
2019/11/01,1092440
2019/12/01,1226398
2020/01/01,1118150
2020/02/01,1015632
2020/03/01,328462
