Date,FTAs_in_India
2001/01/01,283750
2001/02/01,262306
2001/03/01,248965
2001/04/01,185338
2001/05/01,151098
2001/06/01,176716
2001/07/01,224432
2001/08/01,196517
2001/09/01,162326
2001/10/01,181605
2001/11/01,209685
2001/12/01,254544
2002/01/01,228150
2002/02/01,241133
2002/03/01,216839
2002/04/01,159789
2002/05/01,144571
2002/06/01,134566
2002/07/01,178231
2002/08/01,162594
2002/09/01,163089
2002/10/01,213267
2002/11/01,245661
2002/12/01,296474
2003/01/01,274215
2003/02/01,262692
2003/03/01,218473
2003/04/01,160941
2003/05/01,141508
2003/06/01,176324
2003/07/01,225359
2003/08/01,204940
2003/09/01,191339
2003/10/01,260569
2003/11/01,290583
2003/12/01,319271
2004/01/01,337345
2004/02/01,331697
2004/03/01,293185
2004/04/01,223884
2004/05/01,185502
2004/06/01,223122
2004/07/01,272456
2004/08/01,253301
2004/09/01,226773
2004/10/01,307447
2004/11/01,385238
2004/12/01,417527
2005/01/01,385977
2005/02/01,369844
2005/03/01,352094
2005/04/01,248416
2005/05/01,225394
2005/06/01,246970
2005/07/01,307870
2005/08/01,273856
2005/09/01,257184
2005/10/01,347757
2005/11/01,423837
2005/12/01,479411
2006/01/01,459489
2006/02/01,439090
2006/03/01,391009
2006/04/01,309208
2006/05/01,255008
2006/06/01,278370
2006/07/01,337332
2006/08/01,304387
2006/09/01,297891
2006/10/01,391399
2006/11/01,442413
2006/12/01,541571
2007/01/01,535631
2007/02/01,501692
2007/03/01,472494
2007/04/01,350550
2007/05/01,277017
2007/06/01,310364
2007/07/01,399866
2007/08/01,358446
2007/09/01,301892
2007/10/01,444564
2007/11/01,532428
2007/12/01,596560
2008/01/01,511781
2008/02/01,611493
2008/03/01,479765
2008/04/01,361101
2008/05/01,304361
2008/06/01,341539
2008/07/01,431933
2008/08/01,383337
2008/09/01,341693
2008/10/01,450013
2008/11/01,531683
2008/12/01,533904
2009/01/01,481308
2009/02/01,489787
2009/03/01,442062
2009/04/01,347544
2009/05/01,305183
2009/06/01,352353
2009/07/01,432900
2009/08/01,369707
2009/09/01,330707
2009/10/01,458849
2009/11/01,541524
2009/12/01,615775
2010/01/01,568719
2010/02/01,552152
2010/03/01,512152
2010/04/01,371956
2010/05/01,332087
2010/06/01,384642
2010/07/01,466715
2010/08/01,422173
2010/09/01,369821
2010/10/01,507093
2010/11/01,608178
2010/12/01,680004
2011/01/01,622713
2011/02/01,627719
2011/03/01,535613
2011/04/01,446511
2011/05/01,383439
2011/06/01,405464
2011/07/01,475544
2011/08/01,428490
2011/09/01,417478
2011/10/01,559641
2011/11/01,669767
2011/12/01,736843
2012/01/01,681002
2012/02/01,681193
2012/03/01,606456
2012/04/01,447581
2012/05/01,374476
2012/06/01,433390
2012/07/01,485808
2012/08/01,445632
2012/09/01,411562
2012/10/01,556488
2012/11/01,701185
2012/12/01,752972
2013/01/01,720321
2013/02/01,688569
2013/03/01,639530
2013/04/01,450580
2013/05/01,417453
2013/06/01,451223
2013/07/01,506427
2013/08/01,486338
2013/09/01,453561
2013/10/01,598095
2013/11/01,733923
2013/12/01,821581
2014/01/01,757786
2014/02/01,755678
2014/03/01,690441
2014/04/01,535321
2014/05/01,465043
2014/06/01,502028
2014/07/01,568871
2014/08/01,575750
2014/09/01,509142
2014/10/01,668398
2014/11/01,765497
2014/12/01,885144
2015/01/01,790854
2015/02/01,761007
2015/03/01,729154
2015/04/01,541551
2015/05/01,509869
2015/06/01,512341
2015/07/01,628323
2015/08/01,599478
2015/09/01,542600
2015/10/01,683286
2015/11/01,815947
2015/12/01,912723
2016/01/01,844533
2016/02/01,848782
2016/03/01,809107
2016/04/01,592004
2016/05/01,527466
2016/06/01,546972
2016/07/01,733834
2016/08/01,652111
2016/09/01,608177
2016/10/01,741770
2016/11/01,878280
2016/12/01,1021375
2017/01/01,964109
2017/02/01,931025
2017/03/01,885936
2017/04/01,717899
2017/05/01,622408
2017/06/01,663470
2017/07/01,779309
2017/08/01,719129
2017/09/01,719964
2017/10/01,866976
2017/11/01,997738
2017/12/01,1167840
2018/01/01,1045027
2018/02/01,1049259
2018/03/01,1021539
2018/04/01,745033
2018/05/01,606513
2018/06/01,683935
2018/07/01,806493
2018/08/01,785993
2018/09/01,719894
2018/10/01,890223
2018/11/01,1012569
2018/12/01,1191498
2019/01/01,1111040
2019/02/01,1090516
2019/03/01,978236
2019/04/01,774651
2019/05/01,615136
2019/06/01,726446
2019/07/01,818125
2019/08/01,800837
2019/09/01,751513
2019/10/01,945017
2019/11/01,1092440
2019/12/01,1226398
